PT,Rho
240,978.902191207429
245,986.217510972847
250,991.239539931033
255,994.704690579747
260,997.069773082134
265,998.619536944626
270,999.535066392176
275,999.937132737918
280,999.910237703365
285,999.516697164632
290,998.803431842779
295,997.806764329547
300,996.556389499825
305,995.075269216446
310,993.382983317678
315,991.495528823923
320,989.426222862184
325,987.186558131514
330,984.786175659798
335,982.23342882298
340,979.535477344424
345,976.698498162669
350,973.727842137394
355,970.62811594624
360,967.403291833089
365,964.056770290949
370,960.591435953536
375,957.00970769707
380,953.313572531943
385,949.504614715876
390,945.584039937196
395,941.552692145856
400,937.41106365149
405,933.159306766102
410,928.797238686419
415,924.324333518074
420,919.739729357908
425,915.042227696503
430,910.230254858973
435,905.301867417967
440,900.254771399476
445,895.086222119857
450,889.792992366939
455,884.371493970878
460,878.817622640063
465,873.126486635601
470,867.292655606252
475,861.310327200673
480,855.172782963751
485,848.872033158236
490,842.399030121442
495,835.743994478316
500,828.896734791931